Time,	1.1_Topic 1.1,	1.1_RawVal,	1.1_Scale_Factor,	1.1_ScaledVal,	1.2Topic 1.2,	1.2_RawVal,	1.2_Scale_Factor,	1.2_ScaledVal,	2.1_Topic 2.1,	2.1_RawVal,	2.1_Scale_Factor,	2.1_ScaledVal,	2.2_Topic 2.2,	2.2_RawVal,	2.2_Scale_Factor,	2.2_ScaledVal,
1652372779242,	Topic 1.1,	3014696,	2,	6029392.0,	Topic 1.2,	3014701,	1,	3014701.0,	Topic 2.1,	3014696,	0.5,	1507348.0,	Topic 2.2,	3014701,	1.5,	4522051.5,	
1652372779343,	Topic 1.1,	3145773,	2,	6291546.0,	Topic 1.2,	2883626,	1,	2883626.0,	Topic 2.1,	3145773,	0.5,	1572886.5,	Topic 2.2,	2883626,	1.5,	4325439.0,	
1652372779444,	Topic 1.1,	3014701,	2,	6029402.0,	Topic 1.2,	2949161,	1,	2949161.0,	Topic 2.1,	3014701,	0.5,	1507350.5,	Topic 2.2,	2949161,	1.5,	4423741.5,	
1652372779546,	Topic 1.1,	2883630,	2,	5767260.0,	Topic 1.2,	2687021,	1,	2687021.0,	Topic 2.1,	2883630,	0.5,	1441815.0,	Topic 2.2,	2687021,	1.5,	4030531.5,	
1652372779647,	Topic 1.1,	2949164,	2,	5898328.0,	Topic 1.2,	2752553,	1,	2752553.0,	Topic 2.1,	2949164,	0.5,	1474582.0,	Topic 2.2,	2752553,	1.5,	4128829.5,	
1652372779748,	Topic 1.1,	2752559,	2,	5505118.0,	Topic 1.2,	2752552,	1,	2752552.0,	Topic 2.1,	2752559,	0.5,	1376279.5,	Topic 2.2,	2752552,	1.5,	4128828.0,	
1652372779850,	Topic 1.1,	2752557,	2,	5505114.0,	Topic 1.2,	3014702,	1,	3014702.0,	Topic 2.1,	2752557,	0.5,	1376278.5,	Topic 2.2,	3014702,	1.5,	4522053.0,	
1652372779952,	Topic 1.1,	2949165,	2,	5898330.0,	Topic 1.2,	2883631,	1,	2883631.0,	Topic 2.1,	2949165,	0.5,	1474582.5,	Topic 2.2,	2883631,	1.5,	4325446.5,	
1652372780053,	Topic 1.1,	2883627,	2,	5767254.0,	Topic 1.2,	3145772,	1,	3145772.0,	Topic 2.1,	2883627,	0.5,	1441813.5,	Topic 2.2,	3145772,	1.5,	4718658.0,	
1652372780154,	Topic 1.1,	3014703,	2,	6029406.0,	Topic 1.2,	2687018,	1,	2687018.0,	Topic 2.1,	3014703,	0.5,	1507351.5,	Topic 2.2,	2687018,	1.5,	4030527.0,	
1652372780256,	Topic 1.1,	3080239,	2,	6160478.0,	Topic 1.2,	3145770,	1,	3145770.0,	Topic 2.1,	3080239,	0.5,	1540119.5,	Topic 2.2,	3145770,	1.5,	4718655.0,	
1652372780357,	Topic 1.1,	2883631,	2,	5767262.0,	Topic 1.2,	2883631,	1,	2883631.0,	Topic 2.1,	2883631,	0.5,	1441815.5,	Topic 2.2,	2883631,	1.5,	4325446.5,	
1652372780457,	Topic 1.1,	3080239,	2,	6160478.0,	Topic 1.2,	2949161,	1,	2949161.0,	Topic 2.1,	3080239,	0.5,	1540119.5,	Topic 2.2,	2949161,	1.5,	4423741.5,	
1652372780559,	Topic 1.1,	3080234,	2,	6160468.0,	Topic 1.2,	2949163,	1,	2949163.0,	Topic 2.1,	3080234,	0.5,	1540117.0,	Topic 2.2,	2949163,	1.5,	4423744.5,	
1652372780660,	Topic 1.1,	3014704,	2,	6029408.0,	Topic 1.2,	3014699,	1,	3014699.0,	Topic 2.1,	3014704,	0.5,	1507352.0,	Topic 2.2,	3014699,	1.5,	4522048.5,	
